epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.4383,1.50535,0.66186,1.15299,0.94183,0.98667,0.95397,0.51795,1.6035,0.58535,1.28236,0.00015719,0.00015719,0.00015719
2,133.842,1.52528,0.67667,1.15335,0.94521,0.98667,0.95136,0.51138,1.61574,0.57683,1.26971,0.000312401,0.000312401,0.000312401
3,197.136,1.53488,0.64236,1.12832,0.94664,0.98667,0.94558,0.51406,1.62807,0.57995,1.27321,0.000450635,0.000450635,0.000450635
4,256.998,1.54031,0.64837,1.1246,0.94549,0.98667,0.94571,0.48669,1.70506,0.59533,1.32004,0.000571893,0.000571893,0.000571893
5,322.825,1.50529,0.63561,1.11643,0.94517,0.98667,0.95224,0.52675,1.59677,0.56636,1.26127,0.000676174,0.000676174,0.000676174
6,389.623,1.56892,0.66166,1.16747,0.93944,0.98396,0.95315,0.50967,1.62321,0.58087,1.27349,0.000763479,0.000763479,0.000763479
7,456.447,1.54009,0.64994,1.13022,0.9424,0.97773,0.95242,0.48985,1.71022,0.61131,1.32272,0.000833807,0.000833807,0.000833807
8,522.339,1.59299,0.67173,1.19947,0.94112,0.97817,0.95229,0.48853,1.72572,0.60611,1.33194,0.000887159,0.000887159,0.000887159
9,587.907,1.51458,0.68215,1.14323,0.94253,0.98445,0.957,0.52758,1.65554,0.60204,1.29334,0.000863116,0.000863116,0.000863116
10,654.528,1.5271,0.64464,1.14185,0.94272,0.98448,0.9574,0.5359,1.62709,0.59765,1.27756,0.00079238,0.00079238,0.00079238
11,720.487,1.56134,0.61102,1.24997,0.94216,0.98667,0.94913,0.52023,1.6334,0.58364,1.29446,0.000721645,0.000721645,0.000721645
12,786.641,1.51262,0.59428,1.21164,0.94241,0.98667,0.95204,0.50231,1.66317,0.59367,1.31445,0.000650909,0.000650909,0.000650909
13,854.492,1.53575,0.62216,1.24873,0.94411,0.98667,0.9527,0.50387,1.63896,0.58994,1.30122,0.000580174,0.000580174,0.000580174
14,919.218,1.56837,0.61098,1.26239,0.94424,0.98667,0.9507,0.5118,1.60176,0.58198,1.2767,0.000509438,0.000509438,0.000509438
15,985.033,1.56325,0.59533,1.22778,0.9439,0.98667,0.94984,0.51808,1.59248,0.57066,1.26011,0.000438703,0.000438703,0.000438703
16,1050.77,1.58091,0.59597,1.22864,0.94338,0.98667,0.95093,0.52779,1.60118,0.57271,1.25934,0.000367967,0.000367967,0.000367967
17,1117.03,1.54761,0.59581,1.24054,0.94444,0.98667,0.95394,0.53537,1.59884,0.57142,1.2575,0.000297232,0.000297232,0.000297232
18,1182.39,1.53116,0.58216,1.22587,0.94463,0.98667,0.95337,0.53725,1.60071,0.56729,1.2598,0.000226497,0.000226497,0.000226497
19,1247.07,1.50581,0.56995,1.22175,0.94427,0.98667,0.95093,0.53849,1.60666,0.56137,1.26744,0.000155761,0.000155761,0.000155761
20,1311.53,1.48657,0.56478,1.17784,0.94424,0.98667,0.94999,0.52802,1.61028,0.56009,1.2691,8.50255e-05,8.50255e-05,8.50255e-05
